Project Name,Package Name,Type Name,Code Smell
jsoup,org.jsoup,Connection,Cyclic-Dependent Modularization
jsoup,org.jsoup,Connection,Insufficient Modularization
jsoup,org.jsoup,Base,Unutilized Abstraction
jsoup,org.jsoup,Request,Unutilized Abstraction
jsoup,org.jsoup,Request,Cyclic-Dependent Modularization
jsoup,org.jsoup,Response,Unutilized Abstraction
jsoup,org.jsoup,HttpStatusException,Unutilized Abstraction
jsoup,org.jsoup,Jsoup,Cyclic-Dependent Modularization
jsoup,org.jsoup,SerializationException,Unutilized Abstraction
jsoup,org.jsoup,UncheckedIOException,Unutilized Abstraction
jsoup,org.jsoup,UnsupportedMimeTypeException,Unutilized Abstraction
jsoup,org.jsoup.examples,Wikipedia,Unutilized Abstraction
jsoup,org.jsoup.helper,ChangeNotifyingArrayList,Unutilized Abstraction
jsoup,org.jsoup.helper,DataUtil,Cyclic-Dependent Modularization
jsoup,org.jsoup.helper,HttpConnection,Deficient Encapsulation
jsoup,org.jsoup.helper,HttpConnection,Cyclic-Dependent Modularization
jsoup,org.jsoup.helper,HttpConnection,Insufficient Modularization
jsoup,org.jsoup.helper,Base,Cyclic-Dependent Modularization
jsoup,org.jsoup.helper,Request,Broken Hierarchy
jsoup,org.jsoup.helper,Request,Insufficient Modularization
jsoup,org.jsoup.helper,Response,Broken Hierarchy
jsoup,org.jsoup.helper,Response,Cyclic-Dependent Modularization
jsoup,org.jsoup.helper,KeyVal,Cyclic-Dependent Modularization
jsoup,org.jsoup.helper,W3CBuilder,Unutilized Abstraction
jsoup,org.jsoup.helper,DataUtilTest,Unutilized Abstraction
jsoup,org.jsoup.helper,HttpConnectionTest,Unutilized Abstraction
jsoup,org.jsoup.helper,HttpConnectionTest,Deficient Encapsulation
jsoup,org.jsoup.helper,HttpConnectionTest,Insufficient Modularization
jsoup,org.jsoup.helper,W3CDomTest,Unutilized Abstraction
jsoup,org.jsoup.internal,ConstrainableInputStreamTest,Unutilized Abstraction
jsoup,org.jsoup.internal,StringUtilTest,Unutilized Abstraction
jsoup,org.jsoup.nodes,Attribute,Cyclic-Dependent Modularization
jsoup,org.jsoup.nodes,Attributes,Cyclic-Dependent Modularization
jsoup,org.jsoup.nodes,Attributes,Insufficient Modularization
jsoup,org.jsoup.nodes,Dataset,Unutilized Abstraction
jsoup,org.jsoup.nodes,EntrySet,Unutilized Abstraction
jsoup,org.jsoup.nodes,DatasetIterator,Unutilized Abstraction
jsoup,org.jsoup.nodes,BooleanAttribute,Unutilized Abstraction
jsoup,org.jsoup.nodes,BooleanAttribute,Broken Hierarchy
jsoup,org.jsoup.nodes,CDataNode,Cyclic-Dependent Modularization
jsoup,org.jsoup.nodes,Comment,Unutilized Abstraction
jsoup,org.jsoup.nodes,Comment,Broken Hierarchy
jsoup,org.jsoup.nodes,Comment,Cyclic-Dependent Modularization
jsoup,org.jsoup.nodes,DataNode,Unutilized Abstraction
jsoup,org.jsoup.nodes,DataNode,Broken Hierarchy
jsoup,org.jsoup.nodes,DataNode,Cyclic-Dependent Modularization
jsoup,org.jsoup.nodes,Document,Cyclic-Dependent Modularization
jsoup,org.jsoup.nodes,Document,Insufficient Modularization
jsoup,org.jsoup.nodes,OutputSettings,Cyclic-Dependent Modularization
jsoup,org.jsoup.nodes,DocumentType,Unutilized Abstraction
jsoup,org.jsoup.nodes,DocumentType,Deficient Encapsulation
jsoup,org.jsoup.nodes,DocumentType,Broken Hierarchy
jsoup,org.jsoup.nodes,DocumentType,Cyclic-Dependent Modularization
jsoup,org.jsoup.nodes,Element,Unexploited Encapsulation
jsoup,org.jsoup.nodes,Element,Missing Hierarchy
jsoup,org.jsoup.nodes,Element,Cyclic-Dependent Modularization
jsoup,org.jsoup.nodes,Element,Insufficient Modularization
jsoup,org.jsoup.nodes,Element,Hub-like Modularization
jsoup,org.jsoup.nodes,NodeList,Unutilized Abstraction
jsoup,org.jsoup.nodes,Entities,Cyclic-Dependent Modularization
jsoup,org.jsoup.nodes,EntitiesData,Unnecessary Abstraction
jsoup,org.jsoup.nodes,FormElement,Broken Hierarchy
jsoup,org.jsoup.nodes,FormElement,Cyclic-Dependent Modularization
jsoup,org.jsoup.nodes,LeafNode,Unutilized Abstraction
jsoup,org.jsoup.nodes,Node,Cyclic-Dependent Modularization
jsoup,org.jsoup.nodes,Node,Insufficient Modularization
jsoup,org.jsoup.nodes,OuterHtmlVisitor,Unutilized Abstraction
jsoup,org.jsoup.nodes,NodeUtils,Cyclic-Dependent Modularization
jsoup,org.jsoup.nodes,PseudoTextElement,Broken Hierarchy
jsoup,org.jsoup.nodes,PseudoTextElement,Cyclic-Dependent Modularization
jsoup,org.jsoup.nodes,TextNode,Unutilized Abstraction
jsoup,org.jsoup.nodes,TextNode,Broken Hierarchy
jsoup,org.jsoup.nodes,TextNode,Cyclic-Dependent Modularization
