Project Name,Package Name,Type Name,Method Name,Code Smell
jsoup,org.jsoup.examples,HtmlToPlainText,main,Long Statement
jsoup,org.jsoup.examples,HtmlToPlainText,main,Magic Number
jsoup,org.jsoup.examples,HtmlToPlainText,main,Magic Number
jsoup,org.jsoup.examples,HtmlToPlainText,append,Complex Conditional
jsoup,org.jsoup.examples,FormattingVisitor,append,Complex Conditional
jsoup,org.jsoup.examples,ListLinks,main,Long Statement
jsoup,org.jsoup.examples,ListLinks,main,Magic Number
jsoup,org.jsoup.examples,ListLinks,main,Magic Number
jsoup,org.jsoup.helper,DataUtil,parseInputStream,Complex Method
jsoup,org.jsoup.helper,DataUtil,parseInputStream,Long Statement
jsoup,org.jsoup.helper,DataUtil,validateCharset,Empty catch clause
jsoup,org.jsoup.helper,DataUtil,detectCharsetFromBom,Complex Conditional
jsoup,org.jsoup.helper,DataUtil,detectCharsetFromBom,Complex Conditional
jsoup,org.jsoup.helper,DataUtil,detectCharsetFromBom,Complex Conditional
jsoup,org.jsoup.helper,DataUtil,detectCharsetFromBom,Long Statement
jsoup,org.jsoup.helper,DataUtil,detectCharsetFromBom,Magic Number
jsoup,org.jsoup.helper,DataUtil,detectCharsetFromBom,Magic Number
jsoup,org.jsoup.helper,DataUtil,detectCharsetFromBom,Magic Number
jsoup,org.jsoup.helper,DataUtil,detectCharsetFromBom,Magic Number
jsoup,org.jsoup.helper,DataUtil,detectCharsetFromBom,Magic Number
jsoup,org.jsoup.helper,DataUtil,detectCharsetFromBom,Magic Number
jsoup,org.jsoup.helper,DataUtil,detectCharsetFromBom,Magic Number
jsoup,org.jsoup.helper,DataUtil,detectCharsetFromBom,Magic Number
jsoup,org.jsoup.helper,DataUtil,detectCharsetFromBom,Magic Number
jsoup,org.jsoup.helper,DataUtil,detectCharsetFromBom,Magic Number
jsoup,org.jsoup.helper,DataUtil,detectCharsetFromBom,Magic Number
jsoup,org.jsoup.helper,DataUtil,detectCharsetFromBom,Magic Number
jsoup,org.jsoup.helper,DataUtil,detectCharsetFromBom,Magic Number
jsoup,org.jsoup.helper,DataUtil,detectCharsetFromBom,Magic Number
jsoup,org.jsoup.helper,DataUtil,detectCharsetFromBom,Magic Number
jsoup,org.jsoup.helper,DataUtil,detectCharsetFromBom,Magic Number
jsoup,org.jsoup.helper,DataUtil,detectCharsetFromBom,Magic Number
jsoup,org.jsoup.helper,HttpConnection,data,Magic Number
jsoup,org.jsoup.helper,HttpConnection,data,Magic Number
jsoup,org.jsoup.helper,HttpConnection,looksLikeUtf8,Complex Conditional
jsoup,org.jsoup.helper,HttpConnection,looksLikeUtf8,Complex Method
jsoup,org.jsoup.helper,HttpConnection,looksLikeUtf8,Magic Number
jsoup,org.jsoup.helper,HttpConnection,looksLikeUtf8,Magic Number
jsoup,org.jsoup.helper,HttpConnection,looksLikeUtf8,Magic Number
jsoup,org.jsoup.helper,HttpConnection,looksLikeUtf8,Magic Number
jsoup,org.jsoup.helper,HttpConnection,looksLikeUtf8,Magic Number
jsoup,org.jsoup.helper,HttpConnection,looksLikeUtf8,Magic Number
jsoup,org.jsoup.helper,HttpConnection,looksLikeUtf8,Magic Number
jsoup,org.jsoup.helper,HttpConnection,looksLikeUtf8,Magic Number
jsoup,org.jsoup.helper,HttpConnection,looksLikeUtf8,Magic Number
jsoup,org.jsoup.helper,HttpConnection,looksLikeUtf8,Magic Number
jsoup,org.jsoup.helper,HttpConnection,looksLikeUtf8,Magic Number
jsoup,org.jsoup.helper,HttpConnection,looksLikeUtf8,Magic Number
jsoup,org.jsoup.helper,HttpConnection,looksLikeUtf8,Magic Number
jsoup,org.jsoup.helper,HttpConnection,looksLikeUtf8,Magic Number
jsoup,org.jsoup.helper,HttpConnection,looksLikeUtf8,Magic Number
jsoup,org.jsoup.helper,HttpConnection,looksLikeUtf8,Magic Number
jsoup,org.jsoup.helper,HttpConnection,looksLikeUtf8,Magic Number
jsoup,org.jsoup.helper,HttpConnection,looksLikeUtf8,Magic Number
jsoup,org.jsoup.helper,HttpConnection,looksLikeUtf8,Magic Number
jsoup,org.jsoup.helper,HttpConnection,looksLikeUtf8,Magic Number
jsoup,org.jsoup.helper,HttpConnection,Request,Magic Number
jsoup,org.jsoup.helper,HttpConnection,Request,Magic Number
jsoup,org.jsoup.helper,HttpConnection,Request,Magic Number
jsoup,org.jsoup.helper,HttpConnection,Response,Long Statement
jsoup,org.jsoup.helper,HttpConnection,execute,Complex Conditional
jsoup,org.jsoup.helper,HttpConnection,execute,Complex Conditional
