Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
jsoup,org.jsoup,Connection,Method,3,1,1
jsoup,org.jsoup,Connection,hasBody,3,1,0
jsoup,org.jsoup,Connection,url,0,1,1
jsoup,org.jsoup,Connection,url,0,1,1
jsoup,org.jsoup,Connection,proxy,0,1,1
jsoup,org.jsoup,Connection,proxy,0,1,2
jsoup,org.jsoup,Connection,userAgent,0,1,1
jsoup,org.jsoup,Connection,timeout,0,1,1
jsoup,org.jsoup,Connection,maxBodySize,0,1,1
jsoup,org.jsoup,Connection,referrer,0,1,1
jsoup,org.jsoup,Connection,followRedirects,0,1,1
jsoup,org.jsoup,Connection,method,0,1,1
jsoup,org.jsoup,Connection,ignoreHttpErrors,0,1,1
jsoup,org.jsoup,Connection,ignoreContentType,0,1,1
jsoup,org.jsoup,Connection,sslSocketFactory,0,1,1
jsoup,org.jsoup,Connection,data,0,1,2
jsoup,org.jsoup,Connection,data,0,1,3
jsoup,org.jsoup,Connection,data,0,1,4
jsoup,org.jsoup,Connection,data,0,1,1
jsoup,org.jsoup,Connection,data,0,1,1
jsoup,org.jsoup,Connection,data,0,1,1
jsoup,org.jsoup,Connection,data,0,1,1
jsoup,org.jsoup,Connection,requestBody,0,1,1
jsoup,org.jsoup,Connection,header,0,1,2
jsoup,org.jsoup,Connection,headers,0,1,1
jsoup,org.jsoup,Connection,cookie,0,1,2
jsoup,org.jsoup,Connection,cookies,0,1,1
jsoup,org.jsoup,Connection,parser,0,1,1
jsoup,org.jsoup,Connection,postDataCharset,0,1,1
jsoup,org.jsoup,Connection,get,0,1,0
jsoup,org.jsoup,Connection,post,0,1,0
jsoup,org.jsoup,Connection,execute,0,1,0
jsoup,org.jsoup,Connection,request,0,1,0
jsoup,org.jsoup,Connection,request,0,1,1
jsoup,org.jsoup,Connection,response,0,1,0
jsoup,org.jsoup,Connection,response,0,1,1
jsoup,org.jsoup,Connection,url,0,1,0
jsoup,org.jsoup,Connection,url,0,1,1
jsoup,org.jsoup,Connection,method,0,1,0
jsoup,org.jsoup,Connection,method,0,1,1
jsoup,org.jsoup,Connection,header,0,1,1
jsoup,org.jsoup,Connection,headers,0,1,1
jsoup,org.jsoup,Connection,header,0,1,2
jsoup,org.jsoup,Connection,addHeader,0,1,2
jsoup,org.jsoup,Connection,hasHeader,0,1,1
jsoup,org.jsoup,Connection,hasHeaderWithValue,0,1,2
jsoup,org.jsoup,Connection,removeHeader,0,1,1
jsoup,org.jsoup,Connection,headers,0,1,0
jsoup,org.jsoup,Connection,multiHeaders,0,1,0
jsoup,org.jsoup,Connection,cookie,0,1,1
jsoup,org.jsoup,Connection,cookie,0,1,2
jsoup,org.jsoup,Connection,hasCookie,0,1,1
jsoup,org.jsoup,Connection,removeCookie,0,1,1
jsoup,org.jsoup,Connection,cookies,0,1,0
jsoup,org.jsoup,Connection,proxy,0,1,0
jsoup,org.jsoup,Connection,proxy,0,1,1
jsoup,org.jsoup,Connection,proxy,0,1,2
jsoup,org.jsoup,Connection,timeout,0,1,0
jsoup,org.jsoup,Connection,timeout,0,1,1
jsoup,org.jsoup,Connection,maxBodySize,0,1,0
jsoup,org.jsoup,Connection,maxBodySize,0,1,1
jsoup,org.jsoup,Connection,followRedirects,0,1,0
jsoup,org.jsoup,Connection,followRedirects,0,1,1
jsoup,org.jsoup,Connection,ignoreHttpErrors,0,1,0
jsoup,org.jsoup,Connection,ignoreHttpErrors,0,1,1
jsoup,org.jsoup,Connection,ignoreContentType,0,1,0
jsoup,org.jsoup,Connection,ignoreContentType,0,1,1
jsoup,org.jsoup,Connection,sslSocketFactory,0,1,0
jsoup,org.jsoup,Connection,sslSocketFactory,0,1,1
jsoup,org.jsoup,Connection,data,0,1,1
jsoup,org.jsoup,Connection,data,0,1,0
jsoup,org.jsoup,Connection,requestBody,0,1,1
jsoup,org.jsoup,Connection,requestBody,0,1,0
jsoup,org.jsoup,Connection,parser,0,1,1
jsoup,org.jsoup,Connection,parser,0,1,0
jsoup,org.jsoup,Connection,postDataCharset,0,1,1
jsoup,org.jsoup,Connection,postDataCharset,0,1,0
jsoup,org.jsoup,Connection,statusCode,0,1,0
jsoup,org.jsoup,Connection,statusMessage,0,1,0
jsoup,org.jsoup,Connection,charset,0,1,0
jsoup,org.jsoup,Connection,charset,0,1,1
jsoup,org.jsoup,Connection,contentType,0,1,0
jsoup,org.jsoup,Connection,parse,0,1,0
jsoup,org.jsoup,Connection,body,0,1,0
jsoup,org.jsoup,Connection,bodyAsBytes,0,1,0
jsoup,org.jsoup,Connection,bufferUp,0,1,0
