Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT
jsoup,org.jsoup,Connection,1,0,96,1,607,96,0,0,-1.0,13,4
jsoup,org.jsoup,Base,0,0,18,0,117,18,2,0,-1.0,0,0
jsoup,org.jsoup,Request,0,0,23,0,131,23,0,1,-1.0,1,2
jsoup,org.jsoup,Response,0,0,10,0,58,10,0,1,-1.0,1,0
jsoup,org.jsoup,KeyVal,0,0,9,0,54,9,0,0,-1.0,2,0
jsoup,org.jsoup,HttpStatusException,2,0,4,4,21,4,0,0,0.0,0,0
jsoup,org.jsoup,Jsoup,0,0,16,15,175,16,0,0,-1.0,34,8
jsoup,org.jsoup,SerializationException,0,0,4,4,33,4,0,0,-1.0,0,0
jsoup,org.jsoup,UncheckedIOException,0,0,3,3,11,3,0,0,-1.0,0,0
jsoup,org.jsoup,UnsupportedMimeTypeException,2,0,4,4,21,4,0,0,0.0,0,0
jsoup,org.jsoup,MultiLocaleRule,0,0,3,2,27,5,0,0,-1.0,5,0
jsoup,org.jsoup,TextUtil,1,0,1,1,10,1,0,0,0.0,10,0
jsoup,org.jsoup.examples,HtmlToPlainText,5,0,6,5,80,20,0,0,0.6666666666666666,1,10
jsoup,org.jsoup.examples,FormattingVisitor,3,0,4,3,44,16,0,0,0.0,1,2
jsoup,org.jsoup.examples,ListLinks,0,0,3,1,34,8,0,0,-1.0,1,5
jsoup,org.jsoup.examples,Wikipedia,0,0,2,1,16,3,0,0,-1.0,0,3
jsoup,org.jsoup.helper,ChangeNotifyingArrayList,0,0,13,12,53,13,0,0,-1.0,0,0
jsoup,org.jsoup.helper,DataUtil,8,0,13,5,212,43,0,0,0.3076923076923077,7,11
jsoup,org.jsoup.helper,BomCharset,2,0,1,1,8,1,0,0,0.0,1,0
jsoup,org.jsoup.helper,HttpConnection,44,5,125,100,909,213,0,0,0.072,6,12
jsoup,org.jsoup.helper,Base,4,0,23,18,169,44,2,0,0.13043478260869565,2,4
jsoup,org.jsoup.helper,Request,12,0,24,23,110,25,0,1,0.2916666666666667,1,5
jsoup,org.jsoup.helper,Response,14,0,24,10,343,80,0,1,0.125,2,10
jsoup,org.jsoup.helper,KeyVal,4,0,13,12,52,13,0,0,0.23076923076923078,1,2
jsoup,org.jsoup.helper,Validate,0,0,12,11,89,22,0,0,-1.0,43,1
jsoup,org.jsoup.helper,W3CDom,6,0,8,6,138,20,0,0,0.5,2,10
jsoup,org.jsoup.helper,W3CBuilder,5,0,5,3,83,16,0,0,0.4,0,6
jsoup,org.jsoup.helper,DataUtilTest,0,0,17,15,105,17,0,0,-1.0,0,4
jsoup,org.jsoup.helper,HttpConnectionTest,1,1,23,23,196,23,0,0,1.0,0,4
jsoup,org.jsoup.helper,W3CDomTest,0,0,6,6,99,6,0,0,-1.0,0,6
jsoup,org.jsoup.internal,ConstrainableInputStream,7,0,7,5,87,16,0,0,0.2857142857142857,4,1
jsoup,org.jsoup.internal,Normalizer,0,0,2,2,11,2,0,0,-1.0,2,1
jsoup,org.jsoup.internal,StringUtil,4,0,17,17,211,39,0,0,0.47058823529411764,30,2
jsoup,org.jsoup.internal,ConstrainableInputStreamTest,0,0,2,2,43,2,0,0,-1.0,0,2
jsoup,org.jsoup.internal,StringUtilTest,0,0,9,9,77,10,0,0,-1.0,0,2
jsoup,org.jsoup.nodes,Attribute,4,0,20,12,166,28,1,0,0.2,8,6
jsoup,org.jsoup.nodes,Attributes,13,0,43,33,363,74,0,0,0.11627906976744186,22,7
jsoup,org.jsoup.nodes,Dataset,3,0,8,7,43,11,0,0,0.5,0,2
jsoup,org.jsoup.nodes,EntrySet,0,0,2,2,11,3,0,0,-1.0,0,0
jsoup,org.jsoup.nodes,DatasetIterator,2,0,3,3,17,5,0,0,0.0,0,1
jsoup,org.jsoup.nodes,BooleanAttribute,0,0,2,1,16,2,0,1,-1.0,0,0
jsoup,org.jsoup.nodes,CDataNode,0,0,5,3,29,5,0,3,-1.0,3,1
jsoup,org.jsoup.nodes,Comment,1,0,9,7,65,11,0,2,0.6666666666666666,4,6
jsoup,org.jsoup.nodes,DataNode,0,0,9,7,59,9,0,2,-1.0,6,2
jsoup,org.jsoup.nodes,Document,13,0,44,38,434,67,0,2,0.2727272727272727,50,13
jsoup,org.jsoup.nodes,OutputSettings,8,0,17,15,148,17,0,0,0.29411764705882354,3,3
jsoup,org.jsoup.nodes,DocumentType,6,2,8,5,84,17,0,2,0.375,2,3
jsoup,org.jsoup.nodes,Element,8,0,120,104,1126,199,3,1,0.325,85,20
jsoup,org.jsoup.nodes,NodeList,1,0,2,1,10,2,0,0,0.0,0,1
jsoup,org.jsoup.nodes,Entities,10,0,19,8,250,49,0,0,0.3684210526315789,13,7
jsoup,org.jsoup.nodes,EntitiesData,3,0,0,0,13,0,0,0,-1.0,1,0
jsoup,org.jsoup.nodes,FormElement,1,0,6,5,83,17,0,2,0.3333333333333333,4,9
jsoup,org.jsoup.nodes,LeafNode,2,0,14,8,65,18,5,1,0.35714285714285715,0,2
jsoup,org.jsoup.nodes,Node,5,0,66,44,551,96,2,0,0.10606060606060606,26,9
jsoup,org.jsoup.nodes,OuterHtmlVisitor,2,0,3,2,27,4,0,0,0.0,0,2
jsoup,org.jsoup.nodes,NodeUtils,0,0,2,0,19,2,0,0,-1.0,3,2
jsoup,org.jsoup.nodes,PseudoTextElement,0,0,3,1,12,3,0,2,-1.0,2,3
jsoup,org.jsoup.nodes,TextNode,0,0,16,11,114,18,1,2,-1.0,13,6
jsoup,org.jsoup.nodes,XmlDeclaration,1,0,9,6,69,11,0,2,0.6666666666666666,6,3
jsoup,org.jsoup.nodes,AttributesTest,0,0,8,8,117,12,0,0,-1.0,0,2
jsoup,org.jsoup.nodes,AttributeTest,0,0,6,6,37,6,0,0,-1.0,0,4
jsoup,org.jsoup.nodes,BuildEntities,5,0,6,4,86,15,0,0,0.0,2,8
jsoup,org.jsoup.nodes,CharacterRef,3,0,1,1,8,1,0,0,0.0,3,1
jsoup,org.jsoup.nodes,ByName,0,0,1,1,5,1,0,0,-1.0,1,1
jsoup,org.jsoup.nodes,ByCode,0,0,1,1,15,5,0,0,-1.0,1,1
jsoup,org.jsoup.nodes,DocumentTest,2,0,32,30,278,34,0,0,0.59375,0,8
